dataset,generation,adaptive_mean,adaptive_std,naive_mean,naive_std
2,110,8.0,1.8973665961010275,8.2,3.059411708155671
2,111,8.4,2.1540659228538015,9.8,2.993325909419153
2,112,9.6,3.6660605559646724,9.0,4.857983120596447
2,113,8.2,0.9797958971132712,7.0,1.2649110640673518
2,114,5.6,2.65329983228432,7.4,1.8547236990991407
2,115,9.6,1.3564659966250536,9.8,2.6381811916545836
2,116,8.8,2.9257477676655586,10.6,1.0198039027185568
2,117,11.2,2.7856776554368237,11.0,2.8284271247461903
2,118,11.8,2.7856776554368237,13.2,2.3151673805580453
2,119,10.6,3.8262252939417984,8.8,3.4292856398964493
2,120,7.4,1.8547236990991407,9.4,2.727636339397171
2,121,9.4,2.870540018881465,9.8,3.059411708155671
2,122,10.6,3.97994974842648,11.4,1.3564659966250536
2,123,7.4,1.3564659966250536,9.8,1.9390719429665315
2,124,10.4,3.3823069050575527,11.4,3.006659275674582
2,125,7.6,1.4966629547095764,11.2,1.9390719429665317
2,126,8.8,2.7129319932501073,10.6,4.029888335921977
2,127,8.4,3.7202150475476548,12.0,1.7888543819998317
2,128,7.2,1.469693845669907,11.4,3.1368774282716245
3,1,37.8,1.7204650534085253,37.8,1.7204650534085253
3,2,29.0,2.6076809620810595,30.6,3.1368774282716245
3,3,23.2,3.3105890714493698,22.2,2.7856776554368237
3,4,20.8,2.7129319932501073,23.4,2.4166091947189146
3,5,15.2,3.9698866482558417,15.6,5.71314274283428
3,6,16.0,4.147288270665544,15.6,1.019803902718557
3,7,16.0,3.0983866769659336,14.8,4.166533331199932
3,8,12.6,3.6660605559646724,12.4,4.715930449020639
3,9,10.6,2.4166091947189146,11.4,4.223742416388575
3,10,8.8,2.5612496949731396,9.6,1.8547236990991407
3,11,10.6,2.244994432064365,10.0,1.6733200530681511
3,12,9.0,2.0,7.8,2.2271057451320084
3,13,7.6,2.5768197453450252,7.8,0.7483314773547882
3,14,7.8,2.1354156504062622,8.2,3.1874754901018454
3,15,7.0,1.2649110640673518,5.2,1.469693845669907
3,16,6.8,2.1354156504062622,7.4,4.409081537009721
3,17,6.8,2.3151673805580453,6.0,0.8944271909999159
3,18,7.2,1.7204650534085253,6.8,2.2271057451320084
3,19,5.6,3.4409301068170506,6.6,3.6110940170535577
3,20,6.8,2.7129319932501073,5.4,3.006659275674582
3,21,6.0,2.9664793948382653,3.8,1.6
3,22,6.6,1.7435595774162693,5.2,1.469693845669907
3,23,5.2,2.4819347291981715,6.8,0.9797958971132712
